# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.save.global.entities.ms,1780224845760000000,1780224862890000000,42
workspaceModel.mutableEntityStorage.resolve.ms,1780224845760000000,1780224862890000000,0
workspaceModel.global.updates.ms,1780224845760000000,1780224862890000000,4
workspaceModel.mutableEntityStorage.referrers.ms,1780224845760000000,1780224862890000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1780224845760000000,1780224862890000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1780224845760000000,1780224862890000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1780224845760000000,1780224862890000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1780224845760000000,1780224862890000000,4
workspaceModel.do.save.caches.ms,1780224845760000000,1780224862890000000,0
workspaceModel.mutableEntityStorage.entities.ms,1780224845760000000,1780224862890000000,0
jps.global.handle.changed.events.ms,1780224845760000000,1780224862890000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1780224845760000000,1780224862890000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1780224845760000000,1780224862890000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1780224845760000000,1780224862890000000,0
jps.library.entities.serializer.load.entities.ms,1780224845760000000,1780224862890000000,0
workspaceModel.global.apply.state.to.project.ms,1780224845760000000,1780224862890000000,0
jps.app.storage.content.reader.load.component.ms,1780224845760000000,1780224862890000000,3
jps.global.initialize.library.bridges.ms,1780224845760000000,1780224862890000000,0
jps.global.get.library.by.name.ms,1780224845760000000,1780224862890000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1780224845760000000,1780224862890000000,0
jps.global.get.libraries.ms,1780224845760000000,1780224862890000000,68
workspaceModel.moduleManagerBridge.build.module.graph.ms,1780224845760000000,1780224862890000000,0
jps.load.initial.state.ms,1780224845760000000,1780224862890000000,12
workspaceModel.load.cache.from.file.ms,1780224845760000000,1780224862890000000,49
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1780224845760000000,1780224862890000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1780224845760000000,1780224862890000000,1
workspaceModel.sync.entities.ms,1780224845760000000,1780224862890000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1780224845760000000,1780224862890000000,1
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1780224845760000000,1780224862890000000,0
jps.library.entities.serializer.save.entities.ms,1780224845760000000,1780224862890000000,0
jps.global.handle.before.change.events.ms,1780224845760000000,1780224862890000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1780224845760000000,1780224862890000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1780224845760000000,1780224862890000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1780224845760000000,1780224862890000000,2
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1780224845760000000,1780224862890000000,0
workspaceModel.mutableEntityStorage.instances.count,1780224845760000000,1780224862890000000,6
workspaceModel.save.cache.to.file.ms,1780224845760000000,1780224862890000000,16
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1780224845760000000,1780224862890000000,0
